0,1,2,3,4,5
0.266,0.166,0.131,0.081,0.077,0.05
0.278,0.174,0.099,0.09,0.073,0.072
0.256,0.189,0.141,0.101,0.063,0.063
0.257,0.176,0.133,0.089,0.07,0.076
0.264,0.172,0.104,0.1,0.078,0.07
0.334,0.236,0.191,0.145,0.134,0.112
0.274,0.163,0.129,0.074,0.05,0.048
0.274,0.168,0.111,0.069,0.063,0.042
0.283,0.154,0.118,0.101,0.066,0.055
0.258,0.165,0.119,0.097,0.073,0.069
0.26,0.165,0.104,0.084,0.073,0.053
0.367,0.259,0.156,0.113,0.087,0.061
0.374,0.258,0.157,0.103,0.089,0.074
0.358,0.226,0.166,0.127,0.085,0.089
0.343,0.217,0.124,0.117,0.093,0.071
0.4,0.3,0.223,0.158,0.134,0.118
0.351,0.212,0.166,0.097,0.085,0.058
0.327,0.227,0.152,0.121,0.077,0.053
0.358,0.223,0.187,0.123,0.069,0.06
0.336,0.198,0.118,0.1,0.097,0.067
0.353,0.23,0.166,0.139,0.105,0.063
0.384,0.236,0.152,0.112,0.103,0.086
0.348,0.213,0.126,0.101,0.065,0.073
0.411,0.308,0.209,0.202,0.148,0.124
0.342,0.228,0.174,0.119,0.079,0.065
0.316,0.229,0.167,0.102,0.094,0.063
0.336,0.187,0.131,0.083,0.07,0.052
0.386,0.267,0.154,0.118,0.101,0.071
0.338,0.199,0.145,0.119,0.093,0.082
0.454,0.333,0.266,0.221,0.156,0.143
0.377,0.227,0.157,0.12,0.084,0.062
0.341,0.19,0.13,0.093,0.084,0.063
0.357,0.262,0.132,0.1,0.102,0.083
0.521,0.389,0.297,0.262,0.221,0.208
0.348,0.209,0.163,0.108,0.08,0.064
0.541,0.384,0.37,0.342,0.29,0.28
